attendance_id,employee_id,attendance_date,check_in,check_out
188,773,2025-09-16,2025-09-16 08:00:00,2025-09-16 17:00:00
189,2271,2024-11-20,2024-11-20 08:00:00,2024-11-20 20:00:00
190,446,2024-05-12,2024-05-12 10:00:00,2024-05-12 19:00:00
191,739,2024-08-29,2024-08-29 08:00:00,2024-08-29 17:00:00
192,1080,2025-06-08,2025-06-08 11:00:00,2025-06-08 17:00:00
193,1086,2024-12-05,2024-12-05 08:00:00,2024-12-05 18:00:00
194,2120,2025-12-14,2025-12-14 10:00:00,2025-12-14 19:00:00
195,1030,2024-08-09,2024-08-09 10:00:00,2024-08-09 20:00:00
196,1371,2024-10-13,2024-10-13 10:00:00,2024-10-13 20:00:00
197,1250,2025-07-01,2025-07-01 08:00:00,2025-07-01 20:00:00
198,1036,2024-09-27,2024-09-27 10:00:00,2024-09-27 18:00:00
199,1534,2024-09-02,2024-09-02 10:00:00,2024-09-02 18:00:00
200,2050,2025-02-07,2025-02-07 08:00:00,2025-02-07 17:00:00
201,701,2024-06-30,2024-06-30 09:00:00,2024-06-30 17:00:00
202,576,2025-06-11,2025-06-11 11:00:00,2025-06-11 17:00:00
203,1676,2025-03-21,2025-03-21 09:00:00,2025-03-21 20:00:00
204,2214,2025-06-23,2025-06-23 11:00:00,2025-06-23 20:00:00
205,1913,2025-11-10,2025-11-10 11:00:00,2025-11-10 20:00:00
206,889,2024-02-22,2024-02-22 10:00:00,2024-02-22 18:00:00
207,1206,2025-04-12,2025-04-12 10:00:00,2025-04-12 19:00:00
208,2976,2024-09-27,2024-09-27 10:00:00,2024-09-27 20:00:00
209,714,2024-08-18,2024-08-18 11:00:00,2024-08-18 18:00:00
210,1392,2024-07-25,2024-07-25 11:00:00,2024-07-25 17:00:00
211,356,2025-10-25,2025-10-25 08:00:00,2025-10-25 18:00:00
212,664,2025-07-02,2025-07-02 10:00:00,2025-07-02 18:00:00
213,2380,2024-01-26,2024-01-26 09:00:00,2024-01-26 18:00:00
214,1774,2024-09-05,2024-09-05 09:00:00,2024-09-05 17:00:00
215,2467,2025-10-13,2025-10-13 10:00:00,2025-10-13 17:00:00
216,2166,2025-02-28,2025-02-28 09:00:00,2025-02-28 20:00:00
217,2978,2024-01-20,2024-01-20 11:00:00,2024-01-20 20:00:00
218,2289,2025-04-29,2025-04-29 08:00:00,2025-04-29 18:00:00
219,2900,2025-01-06,2025-01-06 10:00:00,2025-01-06 18:00:00
220,1423,2026-01-14,2026-01-14 09:00:00,2026-01-14 18:00:00
221,2806,2025-10-09,2025-10-09 09:00:00,2025-10-09 20:00:00
222,1248,2026-01-30,2026-01-30 08:00:00,2026-01-30 19:00:00
223,143,2024-02-21,2024-02-21 10:00:00,2024-02-21 17:00:00
224,2249,2024-10-26,2024-10-26 09:00:00,2024-10-26 18:00:00
225,2982,2025-09-13,2025-09-13 10:00:00,2025-09-13 17:00:00
226,1563,2025-10-31,2025-10-31 11:00:00,2025-10-31 18:00:00
227,1373,2024-01-23,2024-01-23 08:00:00,2024-01-23 18:00:00
228,1380,2024-07-03,2024-07-03 09:00:00,2024-07-03 19:00:00
229,393,2025-09-14,2025-09-14 09:00:00,2025-09-14 19:00:00
230,1923,2024-12-19,2024-12-19 11:00:00,2024-12-19 17:00:00
231,1812,2024-02-03,2024-02-03 09:00:00,2024-02-03 20:00:00
232,1756,2026-01-02,2026-01-02 09:00:00,2026-01-02 19:00:00
233,1755,2024-04-20,2024-04-20 10:00:00,2024-04-20 19:00:00
234,2166,2025-01-22,2025-01-22 09:00:00,2025-01-22 19:00:00
235,668,2024-06-25,2024-06-25 10:00:00,2024-06-25 18:00:00
236,35,2024-10-26,2024-10-26 09:00:00,2024-10-26 19:00:00
237,2011,2024-08-01,2024-08-01 10:00:00,2024-08-01 17:00:00
238,2849,2024-12-04,2024-12-04 10:00:00,2024-12-04 20:00:00
239,2320,2025-04-05,2025-04-05 09:00:00,2025-04-05 17:00:00
240,189,2025-10-19,2025-10-19 09:00:00,2025-10-19 19:00:00
241,1254,2024-05-01,2024-05-01 10:00:00,2024-05-01 17:00:00
242,1406,2025-11-17,2025-11-17 09:00:00,2025-11-17 19:00:00
243,1602,2024-03-02,2024-03-02 10:00:00,2024-03-02 19:00:00
244,1884,2026-02-06,2026-02-06 08:00:00,2026-02-06 20:00:00
245,164,2025-04-03,2025-04-03 11:00:00,2025-04-03 18:00:00
246,775,2026-01-11,2026-01-11 10:00:00,2026-01-11 17:00:00
247,1461,2024-01-09,2024-01-09 09:00:00,2024-01-09 19:00:00
248,1442,2024-12-05,2024-12-05 10:00:00,2024-12-05 19:00:00
249,1789,2025-07-12,2025-07-12 11:00:00,2025-07-12 20:00:00
250,518,2026-01-27,2026-01-27 11:00:00,2026-01-27 18:00:00
251,506,2025-06-13,2025-06-13 10:00:00,2025-06-13 17:00:00
252,2160,2024-01-10,2024-01-10 11:00:00,2024-01-10 17:00:00
253,32,2025-09-04,2025-09-04 09:00:00,2025-09-04 18:00:00
254,1473,2025-06-04,2025-06-04 11:00:00,2025-06-04 18:00:00
255,1465,2025-11-28,2025-11-28 09:00:00,2025-11-28 18:00:00
256,1457,2024-09-19,2024-09-19 11:00:00,2024-09-19 17:00:00
257,2354,2024-05-09,2024-05-09 09:00:00,2024-05-09 20:00:00
258,1546,2025-06-23,2025-06-23 09:00:00,2025-06-23 20:00:00
259,1890,2025-03-02,2025-03-02 11:00:00,2025-03-02 18:00:00
260,1589,2024-11-14,2024-11-14 10:00:00,2024-11-14 17:00:00
261,2486,2025-12-24,2025-12-24 08:00:00,2025-12-24 18:00:00
262,2372,2024-10-12,2024-10-12 11:00:00,2024-10-12 19:00:00
263,1827,2025-04-03,2025-04-03 09:00:00,2025-04-03 20:00:00
264,2938,2024-06-08,2024-06-08 11:00:00,2024-06-08 19:00:00
265,271,2025-02-26,2025-02-26 10:00:00,2025-02-26 17:00:00
266,827,2025-06-13,2025-06-13 10:00:00,2025-06-13 18:00:00
267,2182,2024-04-02,2024-04-02 08:00:00,2024-04-02 20:00:00
268,276,2024-05-12,2024-05-12 09:00:00,2024-05-12 20:00:00
269,334,2024-02-15,2024-02-15 10:00:00,2024-02-15 20:00:00
270,2907,2024-06-26,2024-06-26 09:00:00,2024-06-26 20:00:00
271,272,2024-01-02,2024-01-02 08:00:00,2024-01-02 19:00:00
272,1727,2025-03-20,2025-03-20 09:00:00,2025-03-20 20:00:00
273,1317,2024-07-25,2024-07-25 10:00:00,2024-07-25 20:00:00
274,2268,2026-01-12,2026-01-12 10:00:00,2026-01-12 19:00:00
275,61,2024-01-19,2024-01-19 10:00:00,2024-01-19 19:00:00
276,2479,2024-07-31,2024-07-31 11:00:00,2024-07-31 18:00:00
277,2396,2024-09-04,2024-09-04 10:00:00,2024-09-04 18:00:00
278,370,2026-01-05,2026-01-05 11:00:00,2026-01-05 19:00:00
279,2852,2024-01-23,2024-01-23 11:00:00,2024-01-23 17:00:00
280,2390,2024-03-03,2024-03-03 08:00:00,2024-03-03 17:00:00
281,1335,2025-06-13,2025-06-13 09:00:00,2025-06-13 20:00:00
282,264,2024-07-10,2024-07-10 08:00:00,2024-07-10 20:00:00
283,2004,2025-08-15,2025-08-15 08:00:00,2025-08-15 17:00:00
284,2963,2024-12-25,2024-12-25 11:00:00,2024-12-25 19:00:00
285,2940,2025-03-21,2025-03-21 08:00:00,2025-03-21 18:00:00
286,2445,2025-12-15,2025-12-15 11:00:00,2025-12-15 20:00:00
287,1699,2025-10-30,2025-10-30 10:00:00,2025-10-30 17:00:00
288,113,2025-12-14,2025-12-14 09:00:00,2025-12-14 20:00:00
289,2899,2026-01-16,2026-01-16 08:00:00,2026-01-16 19:00:00
290,2391,2024-03-02,2024-03-02 09:00:00,2024-03-02 18:00:00
291,2829,2026-01-03,2026-01-03 10:00:00,2026-01-03 17:00:00
292,2084,2025-09-29,2025-09-29 08:00:00,2025-09-29 18:00:00
293,354,2024-01-15,2024-01-15 09:00:00,2024-01-15 18:00:00
294,1313,2024-10-02,2024-10-02 09:00:00,2024-10-02 20:00:00
295,200,2025-10-17,2025-10-17 08:00:00,2025-10-17 17:00:00
296,1673,2025-09-10,2025-09-10 11:00:00,2025-09-10 19:00:00
297,1379,2024-03-23,2024-03-23 08:00:00,2024-03-23 20:00:00
298,2156,2025-12-24,2025-12-24 08:00:00,2025-12-24 17:00:00
299,809,2024-06-07,2024-06-07 08:00:00,2024-06-07 17:00:00
300,2183,2025-04-05,2025-04-05 08:00:00,2025-04-05 18:00:00
301,629,2026-02-24,2026-02-24 10:00:00,2026-02-24 19:00:00
302,1738,2024-06-19,2024-06-19 10:00:00,2024-06-19 19:00:00
303,1271,2024-12-12,2024-12-12 08:00:00,2024-12-12 20:00:00
304,2819,2025-04-08,2025-04-08 10:00:00,2025-04-08 19:00:00
305,217,2025-11-12,2025-11-12 11:00:00,2025-11-12 18:00:00
306,2782,2025-05-06,2025-05-06 09:00:00,2025-05-06 19:00:00
307,2475,2024-05-13,2024-05-13 11:00:00,2024-05-13 20:00:00
308,1351,2024-01-15,2024-01-15 08:00:00,2024-01-15 20:00:00
309,903,2026-02-12,2026-02-12 08:00:00,2026-02-12 18:00:00
310,1390,2025-02-24,2025-02-24 10:00:00,2025-02-24 17:00:00
311,1542,2025-12-20,2025-12-20 11:00:00,2025-12-20 20:00:00
312,2141,2026-01-19,2026-01-19 09:00:00,2026-01-19 20:00:00
313,2002,2025-04-06,2025-04-06 09:00:00,2025-04-06 17:00:00
314,299,2024-02-24,2024-02-24 08:00:00,2024-02-24 18:00:00
315,471,2025-02-06,2025-02-06 10:00:00,2025-02-06 18:00:00
316,2785,2025-02-27,2025-02-27 11:00:00,2025-02-27 18:00:00
317,1356,2025-12-05,2025-12-05 09:00:00,2025-12-05 20:00:00
318,1500,2025-12-04,2025-12-04 09:00:00,2025-12-04 20:00:00
319,2724,2025-08-31,2025-08-31 11:00:00,2025-08-31 20:00:00
320,1025,2025-07-01,2025-07-01 09:00:00,2025-07-01 19:00:00
321,2382,2024-05-21,2024-05-21 08:00:00,2024-05-21 18:00:00
322,1368,2025-04-09,2025-04-09 09:00:00,2025-04-09 19:00:00
323,975,2024-05-17,2024-05-17 09:00:00,2024-05-17 20:00:00
324,2472,2025-06-12,2025-06-12 09:00:00,2025-06-12 20:00:00
325,1118,2024-01-10,2024-01-10 11:00:00,2024-01-10 19:00:00
326,2978,2026-02-16,2026-02-16 10:00:00,2026-02-16 17:00:00
327,1345,2024-11-23,2024-11-23 09:00:00,2024-11-23 19:00:00
328,1976,2025-04-11,2025-04-11 09:00:00,2025-04-11 19:00:00
329,1552,2025-08-27,2025-08-27 09:00:00,2025-08-27 17:00:00
330,1271,2025-12-11,2025-12-11 08:00:00,2025-12-11 18:00:00
331,1982,2024-12-21,2024-12-21 08:00:00,2024-12-21 19:00:00
332,2689,2024-03-19,2024-03-19 08:00:00,2024-03-19 19:00:00
333,846,2026-01-15,2026-01-15 11:00:00,2026-01-15 19:00:00
334,1249,2024-12-14,2024-12-14 08:00:00,2024-12-14 17:00:00
335,2481,2025-04-13,2025-04-13 08:00:00,2025-04-13 20:00:00
336,1123,2024-06-27,2024-06-27 11:00:00,2024-06-27 17:00:00
337,364,2025-01-12,2025-01-12 11:00:00,2025-01-12 20:00:00
338,2808,2024-04-24,2024-04-24 10:00:00,2024-04-24 18:00:00
339,2338,2025-07-03,2025-07-03 09:00:00,2025-07-03 18:00:00
340,2560,2024-03-14,2024-03-14 11:00:00,2024-03-14 17:00:00
341,990,2024-07-09,2024-07-09 09:00:00,2024-07-09 17:00:00
342,2460,2025-03-26,2025-03-26 08:00:00,2025-03-26 17:00:00
343,2112,2026-02-07,2026-02-07 09:00:00,2026-02-07 18:00:00
344,658,2025-06-15,2025-06-15 10:00:00,2025-06-15 19:00:00
345,870,2025-03-11,2025-03-11 10:00:00,2025-03-11 19:00:00
346,2636,2024-08-17,2024-08-17 10:00:00,2024-08-17 17:00:00
347,365,2024-06-06,2024-06-06 09:00:00,2024-06-06 20:00:00
348,2511,2025-05-05,2025-05-05 10:00:00,2025-05-05 20:00:00
349,1841,2024-09-19,2024-09-19 09:00:00,2024-09-19 19:00:00
350,1987,2025-10-31,2025-10-31 09:00:00,2025-10-31 17:00:00
351,1183,2025-05-03,2025-05-03 09:00:00,2025-05-03 20:00:00
352,2873,2024-03-15,2024-03-15 10:00:00,2024-03-15 19:00:00
353,1030,2025-08-17,2025-08-17 10:00:00,2025-08-17 19:00:00
354,2746,2024-11-18,2024-11-18 09:00:00,2024-11-18 18:00:00
355,632,2025-03-25,2025-03-25 09:00:00,2025-03-25 18:00:00
356,192,2024-07-21,2024-07-21 11:00:00,2024-07-21 17:00:00
357,361,2025-08-29,2025-08-29 10:00:00,2025-08-29 20:00:00
358,1932,2024-02-05,2024-02-05 11:00:00,2024-02-05 18:00:00
359,1411,2025-03-05,2025-03-05 11:00:00,2025-03-05 18:00:00
360,2696,2025-10-16,2025-10-16 10:00:00,2025-10-16 18:00:00
361,2221,2025-03-24,2025-03-24 11:00:00,2025-03-24 18:00:00
362,1169,2024-05-10,2024-05-10 08:00:00,2024-05-10 17:00:00
363,321,2025-09-11,2025-09-11 11:00:00,2025-09-11 19:00:00
364,772,2024-06-14,2024-06-14 11:00:00,2024-06-14 19:00:00
365,524,2025-11-16,2025-11-16 09:00:00,2025-11-16 20:00:00
366,2554,2026-02-21,2026-02-21 08:00:00,2026-02-21 18:00:00
367,833,2024-03-08,2024-03-08 11:00:00,2024-03-08 20:00:00
368,733,2025-02-15,2025-02-15 09:00:00,2025-02-15 17:00:00
369,2720,2024-04-30,2024-04-30 11:00:00,2024-04-30 17:00:00
370,1403,2026-01-12,2026-01-12 09:00:00,2026-01-12 19:00:00
