shipment_id,order_id,courier_name,shipped_date,delivered_date,status
138,192,EcomExpress,2024-06-23,2024-06-26,Delivered
139,193,FedEx,2024-10-05,2024-10-10,Delivered
140,196,EcomExpress,2024-05-23,2024-05-29,Delivered
141,197,BlueDart,2026-02-23,2026-02-28,Delivered
142,198,FedEx,2024-04-29,2024-05-03,Delivered
143,199,EcomExpress,2025-01-25,2025-01-29,Delivered
144,201,Delhivery,2024-12-28,2024-12-30,Delivered
145,202,FedEx,2024-12-11,,Shipped
146,203,BlueDart,2026-01-04,2026-01-07,Delivered
147,204,FedEx,2025-05-04,2025-05-06,Delivered
148,205,Delhivery,2024-01-31,2024-02-06,Delivered
149,206,EcomExpress,2025-05-25,2025-05-29,Delivered
150,207,BlueDart,2024-03-18,,Shipped
151,208,Delhivery,2025-04-10,2025-04-14,Delivered
152,210,Delhivery,2025-11-03,,Shipped
153,212,BlueDart,2025-09-02,2025-09-06,Delivered
154,214,BlueDart,2026-01-07,2026-01-12,Delivered
155,215,Delhivery,2024-05-25,2024-05-29,Delivered
156,218,FedEx,2025-11-08,2025-11-13,Returned
157,219,BlueDart,2024-07-05,2024-07-08,Delivered
158,220,EcomExpress,2024-03-30,2024-04-02,Delivered
159,221,FedEx,2024-09-30,2024-10-04,Delivered
160,222,EcomExpress,2024-06-25,2024-07-01,Delivered
161,224,EcomExpress,2024-05-25,2024-05-29,Delivered
162,225,FedEx,2024-10-02,2024-10-05,Delivered
163,226,Delhivery,2024-08-22,2024-08-27,Delivered
164,228,BlueDart,2024-03-29,,Shipped
165,229,Delhivery,2024-04-16,,Shipped
166,230,Delhivery,2025-11-01,2025-11-06,Delivered
167,231,FedEx,2026-01-26,2026-01-31,Delivered
168,232,Delhivery,2025-08-09,,Shipped
169,234,BlueDart,2024-04-02,,Shipped
170,237,FedEx,2025-04-01,2025-04-06,Returned
171,238,BlueDart,2024-07-01,2024-07-06,Delivered
172,240,BlueDart,2024-11-30,2024-12-03,Delivered
173,242,Delhivery,2025-11-22,2025-11-28,Delivered
174,243,EcomExpress,2025-07-18,2025-07-20,Delivered
175,244,BlueDart,2024-08-14,2024-08-19,Delivered
176,245,Delhivery,2025-01-01,2025-01-03,Delivered
177,246,EcomExpress,2024-07-02,2024-07-05,Returned
178,247,FedEx,2024-08-03,,Shipped
179,249,EcomExpress,2024-10-28,2024-10-30,Delivered
180,250,FedEx,2025-05-29,2025-06-03,Delivered
181,251,FedEx,2025-01-11,2025-01-16,Delivered
182,253,Delhivery,2024-02-05,2024-02-08,Delivered
183,254,EcomExpress,2024-08-04,2024-08-08,Delivered
184,256,BlueDart,2024-12-01,2024-12-04,Delivered
185,258,FedEx,2025-07-20,2025-07-26,Delivered
186,261,EcomExpress,2025-09-16,2025-09-22,Delivered
187,263,BlueDart,2024-01-20,2024-01-25,Returned
188,264,Delhivery,2025-02-07,2025-02-12,Delivered
189,265,EcomExpress,2025-10-27,2025-10-30,Delivered
190,266,EcomExpress,2025-08-10,2025-08-16,Delivered
191,267,Delhivery,2024-06-03,2024-06-05,Delivered
192,273,BlueDart,2025-09-10,2025-09-13,Returned
193,276,BlueDart,2024-05-11,2024-05-13,Delivered
194,277,Delhivery,2024-04-19,2024-04-24,Delivered
195,279,EcomExpress,2025-02-26,2025-03-02,Returned
196,281,BlueDart,2025-09-04,2025-09-06,Delivered
197,284,EcomExpress,2024-12-19,2024-12-21,Delivered
198,285,Delhivery,2024-03-12,2024-03-16,Delivered
199,286,EcomExpress,2025-03-01,2025-03-05,Delivered
200,287,FedEx,2024-08-06,,Shipped
201,288,FedEx,2024-12-11,2024-12-17,Delivered
202,289,Delhivery,2026-01-29,2026-02-04,Delivered
203,290,FedEx,2025-09-25,2025-09-30,Delivered
204,292,Delhivery,2024-09-11,2024-09-17,Delivered
205,293,FedEx,2025-01-02,2025-01-06,Delivered
206,294,FedEx,2024-12-06,2024-12-08,Delivered
207,295,Delhivery,2025-09-18,2025-09-23,Delivered
208,296,EcomExpress,2024-08-08,2024-08-11,Delivered
209,298,Delhivery,2025-11-05,2025-11-07,Returned
210,299,BlueDart,2024-02-06,2024-02-11,Delivered
211,300,BlueDart,2025-09-12,2025-09-17,Delivered
212,303,EcomExpress,2026-02-27,2026-03-05,Delivered
213,305,EcomExpress,2025-04-09,2025-04-14,Returned
214,307,BlueDart,2025-04-24,2025-04-26,Delivered
215,308,EcomExpress,2025-07-27,2025-08-02,Delivered
216,310,BlueDart,2024-06-25,2024-06-28,Delivered
217,312,EcomExpress,2025-05-30,2025-06-02,Delivered
218,313,Delhivery,2025-09-05,2025-09-08,Delivered
219,314,FedEx,2025-11-06,2025-11-09,Returned
220,315,BlueDart,2024-08-25,2024-08-27,Delivered
221,316,FedEx,2025-01-17,2025-01-21,Delivered
222,317,FedEx,2024-10-25,2024-10-29,Delivered
223,318,Delhivery,2025-10-12,2025-10-14,Delivered
224,319,EcomExpress,2025-01-03,,Shipped
225,320,BlueDart,2025-10-18,2025-10-24,Returned
226,321,BlueDart,2024-02-20,2024-02-24,Delivered
227,323,Delhivery,2026-01-17,2026-01-21,Delivered
228,325,FedEx,2025-08-07,2025-08-12,Delivered
229,326,FedEx,2025-12-29,,Shipped
230,327,Delhivery,2025-08-22,2025-08-25,Delivered
231,328,Delhivery,2024-02-27,2024-03-02,Delivered
232,331,FedEx,2024-04-23,2024-04-28,Delivered
233,332,BlueDart,2025-07-22,2025-07-25,Delivered
234,333,FedEx,2024-06-29,2024-07-02,Delivered
235,334,EcomExpress,2025-04-02,2025-04-05,Delivered
236,335,BlueDart,2025-10-06,2025-10-09,Delivered
237,336,BlueDart,2025-09-19,2025-09-24,Delivered
238,337,EcomExpress,2025-08-17,2025-08-19,Delivered
239,339,FedEx,2024-12-21,2024-12-23,Delivered
240,340,BlueDart,2025-08-15,2025-08-17,Delivered
241,342,EcomExpress,2024-05-05,2024-05-10,Delivered
242,344,FedEx,2024-05-31,2024-06-06,Returned
243,347,EcomExpress,2024-12-12,2024-12-14,Delivered
244,348,EcomExpress,2025-04-02,2025-04-08,Delivered
245,349,Delhivery,2025-10-26,2025-11-01,Delivered
246,350,FedEx,2024-12-18,2024-12-24,Delivered
247,351,FedEx,2026-01-22,2026-01-24,Delivered
248,352,EcomExpress,2026-01-20,2026-01-24,Delivered
249,354,FedEx,2024-06-04,2024-06-08,Delivered
250,355,FedEx,2025-07-20,2025-07-24,Returned
251,356,FedEx,2025-09-02,2025-09-08,Delivered
252,358,EcomExpress,2024-07-25,2024-07-28,Delivered
253,359,FedEx,2024-08-06,2024-08-12,Delivered
254,362,BlueDart,2025-06-13,2025-06-15,Delivered
255,363,Delhivery,2024-02-15,2024-02-19,Delivered
256,364,EcomExpress,2024-02-01,2024-02-07,Delivered
257,365,FedEx,2024-03-28,2024-03-30,Delivered
258,366,EcomExpress,2025-06-15,2025-06-17,Delivered
259,367,EcomExpress,2025-06-23,2025-06-29,Delivered
260,368,FedEx,2024-01-24,2024-01-27,Delivered
261,369,Delhivery,2024-05-24,,Shipped
262,374,BlueDart,2025-02-20,2025-02-26,Delivered
263,375,FedEx,2026-02-12,2026-02-14,Delivered
264,376,EcomExpress,2025-09-16,,Shipped
265,377,Delhivery,2025-02-17,2025-02-20,Delivered
266,378,FedEx,2025-06-04,,Shipped
267,379,EcomExpress,2025-05-21,2025-05-24,Delivered
268,380,BlueDart,2025-07-12,2025-07-15,Delivered
269,382,FedEx,2024-09-19,2024-09-25,Delivered
270,383,EcomExpress,2025-07-22,,Shipped
271,384,EcomExpress,2026-01-21,2026-01-27,Delivered
272,386,FedEx,2024-05-14,2024-05-16,Returned
273,388,Delhivery,2026-02-07,2026-02-09,Delivered
274,390,EcomExpress,2024-12-05,2024-12-09,Delivered
275,391,FedEx,2025-08-09,2025-08-12,Delivered
276,392,EcomExpress,2024-09-15,2024-09-17,Delivered
277,393,Delhivery,2024-11-10,2024-11-12,Delivered
278,394,FedEx,2025-04-03,2025-04-07,Returned
279,395,EcomExpress,2025-09-10,,Shipped
280,396,EcomExpress,2025-08-31,2025-09-03,Delivered
281,397,BlueDart,2024-03-18,2024-03-23,Delivered
282,399,BlueDart,2024-12-12,2024-12-18,Delivered
283,401,EcomExpress,2026-02-12,2026-02-17,Returned
284,402,EcomExpress,2024-03-09,2024-03-13,Returned
285,408,Delhivery,2025-05-20,2025-05-22,Delivered
286,409,BlueDart,2024-11-28,2024-12-01,Delivered
287,410,BlueDart,2025-04-03,2025-04-05,Delivered
288,411,Delhivery,2026-01-23,2026-01-29,Delivered
289,412,FedEx,2024-11-10,2024-11-15,Returned
290,414,FedEx,2024-07-15,,Shipped
291,415,Delhivery,2024-10-25,2024-10-28,Returned
292,416,FedEx,2024-05-10,2024-05-12,Delivered
293,417,EcomExpress,2025-10-28,2025-11-01,Delivered
294,418,EcomExpress,2024-09-25,2024-10-01,Delivered
295,419,FedEx,2026-02-27,,Shipped
296,421,EcomExpress,2025-04-03,2025-04-08,Delivered
297,422,BlueDart,2024-05-27,2024-05-31,Delivered
298,423,BlueDart,2024-10-08,2024-10-10,Delivered
299,424,EcomExpress,2024-09-17,2024-09-20,Delivered
300,425,FedEx,2024-01-19,2024-01-24,Delivered
301,426,FedEx,2024-08-03,2024-08-07,Delivered
302,427,EcomExpress,2025-10-25,2025-10-30,Delivered
303,428,BlueDart,2025-04-05,2025-04-07,Delivered
304,430,BlueDart,2024-11-03,2024-11-06,Delivered
305,431,FedEx,2024-02-10,2024-02-12,Delivered
306,432,FedEx,2025-04-26,2025-04-30,Delivered
307,434,FedEx,2025-09-14,2025-09-18,Delivered
308,435,BlueDart,2024-08-05,2024-08-08,Delivered
309,437,BlueDart,2025-09-29,,Shipped
310,438,FedEx,2024-09-11,2024-09-17,Delivered
311,439,BlueDart,2024-05-05,,Shipped
312,440,EcomExpress,2024-10-18,2024-10-22,Delivered
313,441,BlueDart,2025-06-29,2025-07-05,Delivered
314,442,FedEx,2025-06-29,,Shipped
315,443,EcomExpress,2026-02-04,2026-02-06,Delivered
316,444,EcomExpress,2025-08-14,2025-08-16,Delivered
317,445,BlueDart,2024-01-14,2024-01-19,Delivered
318,446,FedEx,2025-05-22,2025-05-26,Delivered
319,448,EcomExpress,2025-04-07,2025-04-11,Delivered
320,450,BlueDart,2025-01-06,,Shipped
321,451,EcomExpress,2024-03-13,2024-03-16,Delivered
322,454,BlueDart,2024-08-25,2024-08-31,Delivered
323,455,FedEx,2024-08-09,2024-08-11,Delivered
324,456,FedEx,2025-09-01,2025-09-03,Delivered
325,460,Delhivery,2024-10-27,,Shipped
326,461,Delhivery,2024-07-12,2024-07-17,Delivered
327,462,FedEx,2024-02-29,2024-03-02,Delivered
328,463,EcomExpress,2025-08-14,2025-08-19,Delivered
329,464,EcomExpress,2024-03-19,,Shipped
330,465,FedEx,2024-05-30,2024-06-04,Delivered
331,466,FedEx,2024-04-22,,Shipped
332,467,FedEx,2025-06-23,2025-06-27,Delivered
333,469,FedEx,2025-09-14,2025-09-19,Delivered
334,470,BlueDart,2024-03-07,2024-03-09,Delivered
335,471,EcomExpress,2025-06-06,2025-06-11,Delivered
336,472,EcomExpress,2026-01-03,2026-01-07,Delivered
337,474,FedEx,2026-02-04,2026-02-07,Delivered
338,476,BlueDart,2026-02-17,2026-02-22,Delivered
339,477,EcomExpress,2024-06-30,2024-07-02,Delivered
340,478,BlueDart,2025-02-28,,Shipped
341,483,BlueDart,2024-04-01,2024-04-04,Delivered
342,484,BlueDart,2024-10-15,2024-10-21,Delivered
343,485,BlueDart,2024-09-23,2024-09-25,Delivered
344,486,BlueDart,2025-02-16,2025-02-22,Delivered
345,492,EcomExpress,2024-08-08,2024-08-14,Delivered
346,493,FedEx,2024-10-08,2024-10-12,Delivered
347,494,Delhivery,2026-02-21,2026-02-27,Delivered
348,495,BlueDart,2025-06-18,2025-06-23,Delivered
349,496,BlueDart,2025-09-23,2025-09-27,Delivered
350,497,FedEx,2025-08-15,2025-08-21,Delivered
351,499,BlueDart,2024-07-17,2024-07-20,Delivered
352,500,Delhivery,2025-08-04,2025-08-09,Delivered
353,502,FedEx,2024-04-13,2024-04-19,Delivered
354,505,BlueDart,2024-11-10,2024-11-16,Delivered
355,506,FedEx,2024-05-13,2024-05-16,Delivered
356,507,FedEx,2025-02-03,2025-02-05,Delivered
357,508,FedEx,2025-12-20,,Shipped
358,509,Delhivery,2024-05-27,2024-05-29,Delivered
359,511,EcomExpress,2025-12-13,2025-12-18,Delivered
360,512,EcomExpress,2025-12-19,2025-12-24,Delivered
361,513,EcomExpress,2024-09-18,,Shipped
362,514,BlueDart,2025-07-10,2025-07-15,Delivered
363,516,Delhivery,2025-05-11,2025-05-14,Delivered
364,518,EcomExpress,2025-07-27,,Shipped
365,519,BlueDart,2024-01-08,2024-01-10,Returned
366,520,BlueDart,2024-08-04,2024-08-10,Delivered
367,521,Delhivery,2025-10-08,2025-10-14,Delivered
368,522,BlueDart,2024-08-26,2024-08-28,Delivered
369,524,Delhivery,2026-02-13,2026-02-19,Delivered
370,525,BlueDart,2024-04-11,2024-04-16,Delivered
371,526,EcomExpress,2025-09-26,2025-10-01,Returned
372,527,FedEx,2024-08-14,2024-08-19,Delivered
373,528,EcomExpress,2025-04-16,2025-04-19,Delivered
374,529,EcomExpress,2024-11-30,2024-12-06,Delivered
375,530,EcomExpress,2026-01-11,,Shipped
376,531,EcomExpress,2024-09-20,2024-09-22,Delivered
377,532,EcomExpress,2026-01-28,2026-02-02,Delivered
378,533,EcomExpress,2025-08-29,2025-09-02,Delivered
379,535,BlueDart,2025-05-31,2025-06-02,Delivered
380,536,FedEx,2026-02-14,2026-02-16,Returned
381,538,EcomExpress,2025-01-31,2025-02-05,Delivered
382,539,BlueDart,2026-01-06,,Shipped
383,542,Delhivery,2024-11-26,2024-11-28,Delivered
384,544,FedEx,2026-02-23,2026-02-28,Delivered
385,546,EcomExpress,2024-08-08,2024-08-10,Delivered
386,547,BlueDart,2024-05-11,2024-05-16,Delivered
387,548,BlueDart,2024-08-11,2024-08-16,Delivered
388,549,EcomExpress,2026-01-01,2026-01-03,Delivered
389,550,FedEx,2025-04-29,2025-05-05,Delivered
390,551,FedEx,2024-06-28,2024-06-30,Delivered
391,553,Delhivery,2024-07-19,2024-07-21,Delivered
392,554,FedEx,2024-12-17,2024-12-19,Delivered
393,555,EcomExpress,2025-03-08,2025-03-14,Delivered
394,556,Delhivery,2025-12-09,2025-12-13,Delivered
395,557,EcomExpress,2024-07-06,,Shipped
396,558,FedEx,2025-09-17,2025-09-23,Delivered
397,559,EcomExpress,2024-05-22,2024-05-26,Delivered
398,560,Delhivery,2025-06-12,,Shipped
399,561,EcomExpress,2025-03-30,2025-04-04,Delivered
400,563,FedEx,2025-09-03,2025-09-06,Delivered
401,564,Delhivery,2024-08-06,2024-08-12,Delivered
402,565,BlueDart,2024-12-09,2024-12-11,Delivered
403,566,BlueDart,2025-10-09,2025-10-15,Delivered
404,567,Delhivery,2024-12-11,2024-12-17,Returned
405,568,Delhivery,2024-06-06,,Shipped
406,569,EcomExpress,2026-01-02,2026-01-08,Delivered
407,570,FedEx,2024-04-02,2024-04-04,Delivered
408,574,BlueDart,2025-06-19,2025-06-22,Delivered
409,575,BlueDart,2024-07-24,2024-07-28,Returned
410,576,FedEx,2025-05-08,2025-05-10,Delivered
411,579,FedEx,2024-10-28,2024-11-03,Delivered
412,581,FedEx,2025-06-24,,Shipped
413,582,Delhivery,2026-02-12,2026-02-18,Delivered
414,583,Delhivery,2025-04-23,,Shipped
415,585,Delhivery,2025-05-29,2025-06-03,Delivered
416,586,FedEx,2024-08-21,,Shipped
417,587,FedEx,2025-12-09,2025-12-13,Delivered
418,588,Delhivery,2025-03-19,2025-03-21,Delivered
419,589,EcomExpress,2024-01-24,2024-01-29,Delivered
420,590,Delhivery,2026-01-02,2026-01-04,Delivered
421,591,BlueDart,2025-07-13,2025-07-15,Delivered
422,592,EcomExpress,2024-04-05,2024-04-11,Delivered
423,593,FedEx,2025-03-18,2025-03-20,Delivered
424,595,EcomExpress,2025-09-08,2025-09-12,Delivered
425,597,EcomExpress,2025-07-16,2025-07-19,Delivered
426,599,FedEx,2025-06-26,,Shipped
427,602,BlueDart,2025-01-02,2025-01-05,Delivered
428,604,EcomExpress,2024-01-15,2024-01-17,Delivered
429,605,EcomExpress,2025-08-01,2025-08-04,Delivered
430,606,BlueDart,2024-12-01,2024-12-06,Delivered
431,609,Delhivery,2025-12-24,2025-12-30,Delivered
432,610,EcomExpress,2024-04-29,2024-05-03,Delivered
433,612,Delhivery,2024-06-09,2024-06-13,Delivered
434,615,EcomExpress,2026-01-10,2026-01-12,Delivered
435,617,FedEx,2025-02-13,2025-02-18,Delivered
436,618,BlueDart,2024-07-15,2024-07-20,Delivered
437,619,Delhivery,2024-06-02,,Shipped
438,620,FedEx,2026-02-28,2026-03-05,Delivered
439,621,BlueDart,2025-01-04,,Shipped
440,622,EcomExpress,2025-07-19,2025-07-24,Delivered
441,623,Delhivery,2026-01-12,2026-01-15,Delivered
442,624,Delhivery,2024-06-02,2024-06-06,Delivered
443,625,Delhivery,2025-11-07,2025-11-13,Delivered
444,626,BlueDart,2024-09-05,2024-09-08,Delivered
445,628,EcomExpress,2025-01-20,2025-01-24,Delivered
446,629,BlueDart,2026-01-01,2026-01-07,Returned
447,631,BlueDart,2025-05-26,2025-06-01,Delivered
448,632,EcomExpress,2025-07-02,,Shipped
449,633,BlueDart,2025-12-14,2025-12-19,Delivered
450,634,FedEx,2024-07-27,,Shipped
451,637,FedEx,2025-06-06,2025-06-10,Delivered
452,638,Delhivery,2025-04-05,,Shipped
453,639,EcomExpress,2025-01-12,2025-01-17,Returned
454,640,EcomExpress,2025-07-02,2025-07-06,Delivered
455,641,EcomExpress,2024-12-21,2024-12-23,Delivered
456,642,Delhivery,2025-09-20,2025-09-25,Delivered
457,643,Delhivery,2026-01-15,2026-01-17,Delivered
458,644,BlueDart,2026-01-03,2026-01-06,Delivered
459,645,FedEx,2024-04-29,2024-05-01,Delivered
460,646,EcomExpress,2025-10-31,2025-11-04,Delivered
461,647,FedEx,2024-09-03,2024-09-08,Delivered
462,649,BlueDart,2024-11-11,2024-11-13,Delivered
463,650,Delhivery,2024-02-04,2024-02-10,Delivered
464,652,Delhivery,2025-12-16,2025-12-20,Delivered
465,653,Delhivery,2025-12-29,2025-12-31,Delivered
466,655,BlueDart,2024-02-05,2024-02-07,Delivered
467,658,FedEx,2026-02-16,2026-02-20,Delivered
468,660,BlueDart,2026-01-02,2026-01-05,Delivered
469,661,EcomExpress,2024-09-20,2024-09-26,Delivered
470,662,FedEx,2025-08-03,2025-08-07,Delivered
471,665,BlueDart,2024-05-31,2024-06-04,Delivered
472,666,BlueDart,2024-11-24,2024-11-26,Returned
473,667,Delhivery,2024-05-19,2024-05-22,Delivered
474,671,BlueDart,2024-09-29,2024-10-03,Delivered
475,672,FedEx,2025-07-31,2025-08-04,Delivered
476,673,BlueDart,2025-01-13,2025-01-16,Delivered
477,674,EcomExpress,2025-11-05,2025-11-07,Delivered
478,675,Delhivery,2025-07-26,2025-07-30,Delivered
479,676,EcomExpress,2025-09-22,,Shipped
480,677,Delhivery,2025-12-02,2025-12-07,Delivered
481,678,Delhivery,2025-08-19,2025-08-23,Delivered
482,679,EcomExpress,2024-07-22,2024-07-24,Delivered
483,680,FedEx,2025-09-16,2025-09-22,Delivered
484,681,EcomExpress,2025-12-16,,Shipped
485,682,FedEx,2025-10-13,2025-10-18,Delivered
486,683,EcomExpress,2025-09-05,,Shipped
487,684,Delhivery,2024-07-30,2024-08-04,Delivered
488,685,Delhivery,2024-06-01,2024-06-05,Delivered
489,686,BlueDart,2025-08-17,2025-08-21,Delivered
490,687,Delhivery,2026-02-26,2026-03-04,Delivered
491,689,BlueDart,2025-05-24,2025-05-26,Delivered
492,690,FedEx,2024-07-05,2024-07-11,Delivered
493,691,FedEx,2025-06-29,2025-07-02,Returned
494,692,Delhivery,2024-11-20,2024-11-26,Delivered
495,693,Delhivery,2025-12-09,2025-12-12,Delivered
