order_id,cust_id,store_id,order_date,order_status,gross_total,discount_amount,net_total
77,2420,11,2025-03-23,Delivered,67391.69,0.0,67391.69
78,32916,85,2025-12-10,Delivered,12789.03,3836.71,8952.32
79,5689,184,2024-04-05,Shipped,94492.17,8424.97,86067.2
80,37952,136,2025-10-28,Delivered,77367.18,0.0,77367.18
81,5901,162,2024-09-23,Delivered,83687.31,19257.85,64429.46
82,48700,127,2024-02-19,Delivered,2962.78,0.0,2962.78
83,34161,174,2025-11-27,Delivered,106149.87,0.0,106149.87
84,45913,174,2024-09-27,Delivered,405488.58,525.53,404963.05
85,4395,142,2026-02-22,Cancelled,1518.15,0.0,1518.15
86,32190,82,2024-01-27,Delivered,101151.3,10212.45,90938.85
87,398,124,2025-12-02,Delivered,143302.37,0.0,143302.37
88,37654,17,2024-07-29,Shipped,17125.12,864.58,16260.54
89,12871,114,2025-08-25,Delivered,15523.2,3880.8,11642.4
90,11512,20,2024-10-11,Cancelled,465750.68,0.0,465750.68
91,32346,146,2025-07-08,Processing,6248.21,0.0,6248.21
92,32706,186,2024-12-26,Delivered,10678.96,0.0,10678.96
93,276,46,2024-01-20,Processing,12426.66,2485.33,9941.33
94,23659,151,2025-02-15,Shipped,115259.07,0.0,115259.07
95,12957,69,2024-06-03,Processing,2870.71,0.0,2870.71
96,39406,90,2025-01-04,Shipped,26911.9,617.97,26293.93
97,23808,199,2025-07-17,Delivered,52145.04,0.0,52145.04
98,24892,33,2025-05-06,Delivered,465.82,0.0,465.82
99,189,75,2024-11-20,Out for Delivery,17564.61,0.0,17564.61
100,40809,92,2025-12-07,Failed,397459.32,0.0,397459.32
101,1690,175,2025-11-18,Delivered,4521.36,0.0,4521.36
102,39870,191,2025-01-04,Out for Delivery,8314.78,597.35,7717.43
103,44821,134,2025-07-04,Processing,44260.87,1589.8,42671.07
104,5875,156,2025-04-13,Delivered,377985.87,39813.03,338172.84
105,43488,86,2026-02-26,Delivered,38108.46,1607.43,36501.03
106,20337,170,2025-08-10,Delivered,34783.22,0.0,34783.22
107,24549,35,2024-11-18,Delivered,1249.82,0.0,1249.82
108,35610,31,2024-09-15,Processing,19846.76,1669.48,18177.28
109,5019,49,2024-11-07,Processing,119424.34,0.0,119424.34
110,26116,67,2025-01-23,Processing,29953.93,1290.03,28663.9
111,16279,143,2025-12-16,Delivered,736050.3,0.0,736050.3
112,2236,200,2025-06-24,Delivered,144035.53,0.0,144035.53
113,18879,20,2024-11-21,Delivered,406039.38,4359.87,401679.51
114,25493,92,2025-03-07,Delivered,200135.04,1161.99,198973.05
115,14166,50,2025-08-01,Out for Delivery,10248.25,1216.85,9031.4
116,47724,165,2024-07-05,Processing,22950.41,0.0,22950.41
117,41088,193,2025-08-18,Delivered,3834.93,0.0,3834.93
118,44772,118,2024-03-19,Processing,122467.04,952.61,121514.43
119,18814,198,2024-07-10,Shipped,58530.96,0.0,58530.96
120,34650,31,2024-04-12,Delivered,22912.44,296.37,22616.07
121,39033,5,2025-06-01,Delivered,17622.64,0.0,17622.64
122,24727,78,2024-12-18,Out for Delivery,2041.26,0.0,2041.26
123,15695,22,2025-01-03,Delivered,116090.21,16423.53,99666.68
124,962,165,2025-08-27,Delivered,953.07,0.0,953.07
125,14966,195,2025-07-27,Delivered,7450.08,0.0,7450.08
126,41664,73,2025-08-20,Returned,226335.88,0.0,226335.88
127,40800,43,2024-08-27,Returned,368.3,0.0,368.3
128,45002,92,2024-05-02,Delivered,21646.43,0.0,21646.43
129,48686,18,2025-05-10,Delivered,87627.97,0.0,87627.97
130,45589,34,2025-04-19,Processing,43373.92,0.0,43373.92
131,32561,106,2025-02-07,Delivered,60765.08,0.0,60765.08
132,2471,150,2025-07-01,Delivered,145982.65,0.0,145982.65
133,3727,88,2025-10-18,Delivered,506098.73,11029.76,495068.97
134,40055,169,2024-05-07,Processing,11364.2,618.46,10745.74
135,37872,108,2024-05-15,Cancelled,4235.91,423.59,3812.32
136,16556,65,2024-03-15,Processing,47050.5,4444.38,42606.12
137,30883,39,2026-02-13,Returned,236873.18,0.0,236873.18
138,20971,30,2025-05-06,Out for Delivery,96044.36,25563.47,70480.89
139,13338,174,2025-10-11,Delivered,1354.66,270.93,1083.73
140,6840,71,2024-03-22,Delivered,229723.81,0.0,229723.81
141,6779,125,2024-05-02,Delivered,420035.5,183.8,419851.7
142,29476,43,2025-08-16,Cancelled,127899.28,0.0,127899.28
143,30005,164,2024-10-29,Cancelled,1243.59,0.0,1243.59
144,21775,176,2026-02-26,Delivered,16734.61,48.01,16686.6
145,29634,56,2024-05-19,Delivered,1749.84,0.0,1749.84
146,19564,165,2024-01-12,Failed,58225.3,0.0,58225.3
147,42595,187,2024-09-02,Shipped,24492.12,0.0,24492.12
148,14432,139,2026-01-04,Delivered,239759.37,0.0,239759.37
149,5171,81,2024-02-09,Delivered,5025.42,0.0,5025.42
150,23397,192,2024-11-02,Out for Delivery,467588.34,382.49,467205.85
151,11646,156,2024-11-21,Delivered,55530.2,0.0,55530.2
152,8844,121,2025-08-10,Delivered,7915.54,0.0,7915.54
153,41533,154,2025-05-14,Processing,355921.65,2978.98,352942.67
154,19819,169,2025-05-03,Shipped,43088.49,2451.19,40637.3
155,32787,118,2024-04-20,Delivered,49339.32,163.6,49175.72
156,42191,40,2024-12-10,Delivered,342443.18,15591.4,326851.78
157,47207,89,2024-01-09,Processing,74540.36,14908.07,59632.29
158,44456,36,2025-10-20,Shipped,33703.93,0.0,33703.93
159,39139,141,2025-02-13,Delivered,81418.43,0.0,81418.43
160,25096,82,2024-05-26,Delivered,28451.92,2265.71,26186.21
161,1675,85,2024-01-09,Delivered,454598.33,0.0,454598.33
162,14518,55,2025-02-21,Shipped,100888.87,0.0,100888.87
163,19293,30,2025-04-09,Delivered,63427.23,329.86,63097.37
164,23409,95,2025-07-12,Delivered,160070.06,24728.47,135341.59
165,49898,39,2025-10-31,Shipped,104990.73,0.0,104990.73
166,13230,152,2024-07-15,Failed,4238.11,1271.43,2966.68
167,5527,120,2024-04-20,Delivered,138707.7,27934.84,110772.86
168,26671,41,2024-06-21,Delivered,72617.61,1286.65,71330.96
169,35866,154,2025-10-11,Delivered,53534.92,0.0,53534.92
170,28293,11,2025-05-12,Delivered,67281.26,3054.93,64226.33
171,86,36,2025-06-06,Returned,1854.86,0.0,1854.86
172,13108,137,2025-05-12,Out for Delivery,139260.13,0.0,139260.13
173,43328,196,2024-08-16,Delivered,221832.76,0.0,221832.76
174,22207,133,2024-10-12,Out for Delivery,82096.22,1133.38,80962.84
175,14606,147,2026-02-23,Shipped,19225.76,0.0,19225.76
176,23687,14,2025-06-24,Delivered,108231.15,0.0,108231.15
177,7989,155,2025-10-03,Processing,131481.56,0.0,131481.56
178,20895,8,2024-11-25,Processing,61538.34,0.0,61538.34
179,19337,179,2024-06-16,Delivered,14370.43,0.0,14370.43
180,31167,91,2024-03-01,Delivered,93007.08,11406.5,81600.58
181,12936,90,2025-05-31,Shipped,59883.26,5036.84,54846.42
182,4613,96,2024-12-30,Processing,95517.38,0.0,95517.38
183,17324,181,2026-01-06,Failed,111004.05,0.0,111004.05
184,7213,91,2025-03-15,Delivered,39014.34,339.76,38674.58
185,7142,171,2024-06-09,Delivered,55079.88,7431.46,47648.42
186,12048,177,2024-04-17,Delivered,14092.24,1314.63,12777.61
187,20287,17,2024-09-29,Delivered,124152.11,6173.0,117979.11
188,27316,31,2024-04-03,Processing,4845.65,219.63,4626.02
189,4099,73,2024-04-11,Shipped,45571.6,0.0,45571.6
190,17563,14,2025-06-24,Cancelled,44591.57,0.0,44591.57
191,9901,42,2026-01-26,Delivered,4274.0,213.7,4060.3
192,13735,186,2024-06-20,Delivered,760508.97,5690.79,754818.18
193,27605,155,2024-10-02,Delivered,52209.38,0.0,52209.38
194,10979,4,2024-10-28,Out for Delivery,33564.74,0.0,33564.74
195,19439,55,2026-01-17,Cancelled,27759.82,430.02,27329.8
196,4145,173,2024-05-20,Delivered,286638.63,828.23,285810.4
197,22472,191,2026-02-21,Delivered,25670.96,0.0,25670.96
198,44845,91,2024-04-26,Delivered,8935.02,0.0,8935.02
199,26717,166,2025-01-22,Delivered,28415.61,0.0,28415.61
200,22267,170,2025-01-06,Processing,39233.18,0.0,39233.18
201,10474,99,2024-12-27,Delivered,145761.24,1008.1,144753.14
202,14501,124,2024-12-10,Shipped,22715.71,0.0,22715.71
203,49104,199,2026-01-02,Delivered,141387.66,0.0,141387.66
204,32066,59,2025-05-02,Delivered,367533.4,0.0,367533.4
205,36767,123,2024-01-30,Delivered,17528.44,0.0,17528.44
206,12288,154,2025-05-22,Delivered,146319.12,1151.27,145167.85
207,34150,64,2024-03-15,Shipped,7029.41,468.52,6560.89
208,26110,169,2025-04-08,Delivered,265915.94,0.0,265915.94
209,45054,182,2025-01-17,Failed,232869.06,0.0,232869.06
210,16818,114,2025-11-01,Shipped,2872.8,430.92,2441.88
211,47240,143,2025-10-20,Out for Delivery,203971.89,0.0,203971.89
212,13928,186,2025-09-01,Delivered,210495.6,10524.78,199970.82
213,25871,80,2025-04-22,Processing,35941.01,0.0,35941.01
214,39022,34,2026-01-05,Delivered,72334.31,1058.7,71275.61
215,37924,176,2024-05-23,Delivered,27591.69,0.0,27591.69
216,18872,138,2024-09-26,Failed,118197.63,9652.14,108545.49
217,28520,170,2024-07-26,Processing,144159.82,0.0,144159.82
218,25614,3,2025-11-06,Returned,176219.2,2071.72,174147.48
219,5269,105,2024-07-03,Delivered,138218.28,7383.88,130834.4
220,44198,189,2024-03-27,Delivered,4865.33,0.0,4865.33
221,19726,32,2024-09-28,Delivered,21406.56,0.0,21406.56
222,23250,51,2024-06-24,Delivered,25373.92,1863.76,23510.16
223,7768,37,2024-03-14,Cancelled,39414.97,0.0,39414.97
224,19241,29,2024-05-24,Delivered,10792.4,0.0,10792.4
225,32101,115,2024-09-30,Delivered,84555.2,0.0,84555.2
226,39757,199,2024-08-21,Delivered,3882.28,0.0,3882.28
227,24910,71,2025-09-05,Failed,4638.7,79.43,4559.27
228,29873,12,2024-03-27,Shipped,23193.1,0.0,23193.1
229,42594,168,2024-04-15,Shipped,476537.61,169.37,476368.24
230,27206,36,2025-10-31,Delivered,300953.73,1417.48,299536.25
231,36441,134,2026-01-25,Delivered,34655.34,2115.77,32539.57
232,6599,2,2025-08-08,Shipped,40228.39,2567.14,37661.25
233,41336,62,2024-01-03,Failed,37886.94,2781.54,35105.4
234,29180,129,2024-03-30,Shipped,13206.34,1416.24,11790.1
235,31269,142,2025-05-19,Out for Delivery,25416.83,5890.87,19525.96
236,36773,53,2025-03-06,Processing,219738.62,0.0,219738.62
237,8379,8,2025-03-30,Returned,1557.41,0.0,1557.41
238,19295,147,2024-06-29,Delivered,147051.75,32550.84,114500.91
239,47922,100,2025-12-06,Out for Delivery,305475.67,302.39,305173.28
240,47804,181,2024-11-29,Delivered,288923.29,0.0,288923.29
241,7934,5,2024-09-03,Out for Delivery,20040.85,2414.4,17626.45
242,15598,8,2025-11-21,Delivered,466593.56,40208.9,426384.66
243,36709,148,2025-07-15,Delivered,5809.95,0.0,5809.95
244,44005,185,2024-08-11,Delivered,21842.25,3934.11,17908.14
245,20022,80,2024-12-29,Delivered,430881.06,0.0,430881.06
246,33782,89,2024-06-29,Returned,37627.44,0.0,37627.44
247,31288,154,2024-07-31,Shipped,33530.16,0.0,33530.16
248,21543,82,2025-02-20,Cancelled,33283.42,0.0,33283.42
249,21978,176,2024-10-25,Delivered,134672.57,6493.97,128178.6
250,11597,51,2025-05-27,Delivered,611397.99,99739.28,511658.71
251,35688,28,2025-01-08,Delivered,13648.0,2047.2,11600.8
252,25831,67,2025-03-10,Processing,17817.31,408.29,17409.02
253,29229,136,2024-02-02,Delivered,137834.5,0.0,137834.5
254,44245,96,2024-08-01,Delivered,301401.41,44657.7,256743.71
255,28872,188,2025-12-10,Out for Delivery,7680.34,0.0,7680.34
256,43452,41,2024-11-28,Delivered,15355.42,0.0,15355.42
257,19736,46,2026-01-27,Failed,33908.64,0.0,33908.64
258,46823,88,2025-07-19,Delivered,87163.96,0.0,87163.96
259,14600,32,2024-12-13,Cancelled,122683.5,18069.79,104613.71
260,8213,102,2024-03-13,Out for Delivery,9085.29,1895.13,7190.16
261,15215,128,2025-09-15,Delivered,85792.6,3040.55,82752.05
262,16612,11,2025-11-10,Processing,49847.03,0.0,49847.03
263,13321,145,2024-01-19,Returned,325933.44,0.0,325933.44
264,23733,197,2025-02-04,Delivered,111287.19,3755.18,107532.01
265,32753,46,2025-10-24,Delivered,50085.56,1926.55,48159.01
266,49015,169,2025-08-09,Delivered,34450.81,0.0,34450.81
267,49078,195,2024-05-31,Delivered,288289.37,3413.57,284875.8
268,21732,181,2024-04-10,Out for Delivery,142602.01,2505.5,140096.51
269,12594,65,2025-10-18,Failed,815.9,0.0,815.9
270,39754,45,2025-06-04,Out for Delivery,55973.64,0.0,55973.64
271,18722,162,2024-07-21,Out for Delivery,2962.78,740.7,2222.08
272,6720,52,2024-05-15,Failed,12703.46,58.3,12645.16
273,9864,197,2025-09-08,Returned,89377.44,0.0,89377.44
274,22329,68,2024-11-08,Cancelled,23517.29,1.32,23515.97
275,10177,183,2025-03-08,Failed,214626.89,0.0,214626.89
276,45656,125,2024-05-09,Delivered,95638.63,10798.89,84839.74
277,25240,173,2024-04-17,Delivered,20245.56,179.67,20065.89
278,40744,76,2025-01-22,Out for Delivery,33590.94,0.0,33590.94
279,33612,8,2025-02-25,Returned,8113.96,600.79,7513.17
280,43993,24,2025-04-21,Out for Delivery,91527.96,0.0,91527.96
281,19906,132,2025-09-02,Delivered,10585.74,0.0,10585.74
282,28514,31,2025-08-27,Cancelled,98554.96,0.0,98554.96
283,20563,97,2025-06-18,Out for Delivery,23743.11,0.0,23743.11
284,43742,180,2024-12-18,Delivered,22280.4,0.0,22280.4
285,5941,135,2024-03-10,Delivered,38920.45,2072.63,36847.82
286,7234,193,2025-02-26,Delivered,24685.72,0.0,24685.72
287,14577,80,2024-08-04,Shipped,133337.21,23190.7,110146.51
288,9118,197,2024-12-08,Delivered,138643.75,0.0,138643.75
289,4071,191,2026-01-27,Delivered,93813.45,0.0,93813.45
290,1096,115,2025-09-23,Delivered,113571.48,0.0,113571.48
291,36872,43,2025-12-31,Cancelled,64848.48,134.2,64714.28
292,23665,182,2024-09-10,Delivered,115780.37,0.0,115780.37
293,2893,73,2024-12-31,Delivered,4725.63,0.0,4725.63
294,43658,46,2024-12-05,Delivered,121675.97,2175.62,119500.35
295,44810,42,2025-09-17,Delivered,12707.88,0.0,12707.88
296,2706,104,2024-08-06,Delivered,66173.48,443.54,65729.94
297,27780,187,2025-12-12,Processing,7069.9,0.0,7069.9
298,37384,112,2025-11-02,Returned,194127.44,0.0,194127.44
299,42794,120,2024-02-05,Delivered,6501.94,0.0,6501.94
300,36551,37,2025-09-10,Delivered,96210.55,0.0,96210.55
301,28881,28,2024-04-18,Out for Delivery,218325.74,8577.6,209748.14
302,32766,3,2024-04-13,Out for Delivery,3873.3,0.0,3873.3
303,49475,164,2026-02-24,Delivered,12811.67,0.0,12811.67
304,27216,39,2025-09-19,Cancelled,104903.01,9012.72,95890.29
305,30409,2,2025-04-07,Returned,94590.25,1624.67,92965.58
306,35847,134,2024-07-06,Out for Delivery,67714.44,0.0,67714.44
307,31407,43,2025-04-21,Delivered,11440.36,0.0,11440.36
308,14215,158,2025-07-25,Delivered,24442.62,0.0,24442.62
309,38868,97,2025-09-24,Out for Delivery,32113.99,6915.5,25198.49
310,31712,130,2024-06-24,Delivered,41344.01,301.87,41042.14
311,31333,143,2024-11-05,Cancelled,21583.88,0.0,21583.88
312,21819,114,2025-05-27,Delivered,25244.77,5118.0,20126.77
313,35893,200,2025-09-02,Delivered,308112.39,0.0,308112.39
314,27254,172,2025-11-05,Returned,316295.29,215.15,316080.14
315,4816,165,2024-08-22,Delivered,5971.2,0.0,5971.2
316,45524,10,2025-01-16,Delivered,63938.35,0.0,63938.35
317,19220,55,2024-10-24,Delivered,100266.87,0.0,100266.87
318,12621,36,2025-10-10,Delivered,31938.09,0.0,31938.09
319,28488,185,2025-01-02,Shipped,36097.61,0.0,36097.61
320,20192,25,2025-10-16,Returned,196875.94,19687.59,177188.35
321,354,175,2024-02-19,Delivered,117734.91,0.0,117734.91
322,47430,169,2026-01-11,Failed,9462.12,1892.42,7569.7
323,8676,16,2026-01-14,Delivered,3702.1,0.0,3702.1
324,40476,166,2024-01-25,Processing,215640.12,868.88,214771.24
325,48906,124,2025-08-06,Delivered,224131.59,938.67,223192.92
326,10162,129,2025-12-28,Shipped,12673.83,0.0,12673.83
327,9924,70,2025-08-19,Delivered,17814.54,4453.64,13360.9
328,4255,90,2024-02-26,Delivered,26797.06,0.0,26797.06
329,46329,7,2024-09-27,Processing,125358.6,0.0,125358.6
330,39655,63,2024-08-03,Out for Delivery,27005.68,0.0,27005.68
331,15891,169,2024-04-21,Delivered,24696.21,4158.49,20537.72
332,40218,170,2025-07-20,Delivered,39473.37,1973.67,37499.7
333,39082,140,2024-06-26,Delivered,21818.54,649.81,21168.73
334,2657,28,2025-04-01,Delivered,59515.05,0.0,59515.05
335,25598,76,2025-10-04,Delivered,103104.51,0.0,103104.51
336,40246,103,2025-09-16,Delivered,222027.32,0.0,222027.32
337,23942,65,2025-08-16,Delivered,38090.94,0.0,38090.94
338,29147,166,2024-03-23,Failed,26851.47,0.0,26851.47
339,4635,164,2024-12-19,Delivered,7831.04,0.0,7831.04
340,36861,42,2025-08-13,Delivered,30719.88,1204.41,29515.47
341,28102,134,2025-09-05,Failed,167391.04,0.0,167391.04
342,39987,98,2024-05-03,Delivered,13665.41,0.0,13665.41
343,30448,142,2025-10-11,Out for Delivery,24214.08,0.0,24214.08
344,22520,127,2024-05-29,Returned,3636.65,0.0,3636.65
345,1477,9,2024-04-20,Processing,26340.48,1150.4,25190.08
346,19088,153,2025-01-23,Processing,33905.99,0.0,33905.99
347,49978,24,2024-12-11,Delivered,40301.87,11784.35,28517.52
348,41174,138,2025-03-30,Delivered,42861.43,6785.0,36076.43
349,43186,143,2025-10-24,Delivered,61567.44,0.0,61567.44
350,31692,6,2024-12-17,Delivered,478148.6,0.0,478148.6
351,16629,136,2026-01-19,Delivered,264337.22,0.0,264337.22
352,48483,81,2026-01-18,Delivered,67421.04,0.0,67421.04
353,1548,75,2024-02-22,Out for Delivery,4527.27,0.0,4527.27
354,33152,23,2024-06-02,Delivered,319855.59,5.8,319849.79
355,5351,152,2025-07-17,Returned,13096.77,0.0,13096.77
356,11569,137,2025-08-30,Delivered,7069.08,0.0,7069.08
357,42872,141,2025-11-14,Cancelled,25097.43,1415.93,23681.5
358,11478,54,2024-07-23,Delivered,50771.26,224.4,50546.86
359,14407,161,2024-08-03,Delivered,27138.37,896.47,26241.9
360,13703,44,2024-01-15,Processing,92976.98,0.0,92976.98
361,22468,39,2026-01-02,Out for Delivery,89768.96,0.0,89768.96
362,44279,54,2025-06-11,Delivered,3990.42,0.0,3990.42
363,43754,177,2024-02-12,Delivered,12723.49,1474.98,11248.51
364,48150,3,2024-01-30,Delivered,3110.64,0.0,3110.64
365,44616,145,2024-03-26,Delivered,11339.88,0.0,11339.88
366,20533,139,2025-06-14,Delivered,61821.77,235.32,61586.45
367,49649,83,2025-06-22,Delivered,14439.19,1151.33,13287.86
368,45354,30,2024-01-21,Delivered,300716.66,0.0,300716.66
369,2917,128,2024-05-21,Shipped,216638.36,12278.11,204360.25
370,38417,182,2024-09-03,Cancelled,14160.78,0.0,14160.78
371,8492,28,2024-10-12,Processing,46346.85,11586.71,34760.14
372,32925,110,2024-12-10,Failed,16175.04,0.0,16175.04
373,12297,55,2024-10-03,Processing,81777.12,16355.42,65421.7
374,11227,127,2025-02-19,Delivered,142881.78,334.85,142546.93
375,21254,89,2026-02-09,Delivered,22137.66,2928.34,19209.32
376,26171,172,2025-09-13,Shipped,62948.92,15737.23,47211.69
377,48664,13,2025-02-14,Delivered,79195.72,620.04,78575.68
378,19913,26,2025-06-02,Shipped,72221.78,1644.4,70577.38
379,36031,179,2025-05-19,Delivered,4234.1,0.0,4234.1
380,25577,67,2025-07-09,Delivered,29297.43,0.0,29297.43
381,9367,177,2024-09-20,Out for Delivery,27489.18,3925.81,23563.37
382,1631,177,2024-09-18,Delivered,94098.92,0.0,94098.92
383,15895,4,2025-07-21,Shipped,6073.7,432.14,5641.56
384,31478,41,2026-01-19,Delivered,1681.81,252.27,1429.54
385,33413,62,2024-09-01,Out for Delivery,157733.76,0.0,157733.76
386,5114,111,2024-05-12,Returned,381652.64,0.0,381652.64
387,44759,6,2025-12-27,Failed,29822.34,0.0,29822.34
388,39454,58,2026-02-06,Delivered,13230.16,0.0,13230.16
389,36522,10,2024-02-12,Processing,20393.76,0.0,20393.76
390,13183,75,2024-12-02,Delivered,6702.27,0.0,6702.27
391,27721,153,2025-08-06,Delivered,130262.35,0.0,130262.35
392,15406,167,2024-09-14,Delivered,28624.09,0.0,28624.09
393,22959,106,2024-11-07,Delivered,117683.66,13862.07,103821.59
394,25071,122,2025-03-31,Returned,105190.26,0.0,105190.26
395,42954,52,2025-09-07,Shipped,27689.12,0.0,27689.12
396,36818,157,2025-08-28,Delivered,22632.54,0.0,22632.54
397,15825,16,2024-03-17,Delivered,24604.12,0.0,24604.12
398,10513,160,2025-08-12,Cancelled,42503.03,3057.86,39445.17
399,2161,73,2024-12-10,Delivered,3222.7,0.0,3222.7
400,35685,178,2024-11-20,Out for Delivery,863.46,0.0,863.46
401,38508,119,2026-02-11,Returned,133204.87,29178.91,104025.96
402,34154,25,2024-03-06,Returned,13864.95,0.0,13864.95
403,45777,104,2024-06-23,Out for Delivery,38879.3,0.0,38879.3
404,8842,66,2024-02-16,Failed,42559.05,8637.68,33921.37
405,39533,33,2025-06-20,Processing,5560.56,0.0,5560.56
406,46173,84,2024-01-06,Processing,115174.93,0.0,115174.93
407,35417,188,2024-10-20,Processing,225641.5,0.0,225641.5
408,4856,155,2025-05-19,Delivered,37287.6,0.0,37287.6
409,23219,99,2024-11-26,Delivered,12998.71,0.0,12998.71
410,2840,147,2025-04-02,Delivered,15347.26,0.0,15347.26
411,41197,20,2026-01-21,Delivered,173021.86,510.69,172511.17
412,18891,38,2024-11-07,Returned,87020.8,0.0,87020.8
413,21983,152,2025-03-20,Out for Delivery,4505.04,0.0,4505.04
414,6283,145,2024-07-14,Shipped,48363.72,1011.43,47352.29
415,4494,50,2024-10-23,Returned,1063.84,0.0,1063.84
416,11981,151,2024-05-09,Delivered,116221.24,23973.18,92248.06
417,321,14,2025-10-26,Delivered,27605.01,5521.0,22084.01
