payment_id,order_id,payment_date,payment_mode,amount
125,135,2024-05-15,Credit Card,3812.32
126,136,2024-03-15,Wallet,42606.12
127,137,2026-02-13,Gift Card,236873.18
128,138,2025-05-06,Debit Card,70480.89
129,139,2025-10-11,Net Banking,1083.73
130,140,2024-03-22,Gift Card,229723.81
131,141,2024-05-02,Wallet,419851.7
132,142,2025-08-16,Cash,127899.28
133,143,2024-10-29,Credit Card,1243.59
134,144,2026-02-26,Cash,16686.6
135,145,2024-05-19,Net Banking,1749.84
136,146,2024-01-12,UPI,58225.3
137,147,2024-09-02,Wallet,24492.12
138,148,2026-01-04,Gift Card,239759.37
139,149,2024-02-09,Debit Card,5025.42
140,150,2024-11-02,Gift Card,467205.85
141,151,2024-11-21,Wallet,55530.2
142,152,2025-08-10,Gift Card,7915.54
143,154,2025-05-03,UPI,40637.3
144,155,2024-04-20,Credit Card,49175.72
145,156,2024-12-10,EMI,326851.78
146,158,2025-10-20,Buy Now Pay Later,33703.93
147,159,2025-02-13,Cash,81418.43
148,160,2024-05-26,Buy Now Pay Later,26186.21
149,161,2024-01-09,Buy Now Pay Later,454598.33
150,162,2025-02-21,Credit Card,100888.87
151,163,2025-04-09,Buy Now Pay Later,63097.37
152,164,2025-07-12,Cash,135341.59
153,165,2025-10-31,UPI,104990.73
154,166,2024-07-15,UPI,2966.68
155,167,2024-04-20,UPI,110772.86
156,168,2024-06-21,Gift Card,71330.96
157,169,2025-10-11,Buy Now Pay Later,53534.92
158,170,2025-05-12,Buy Now Pay Later,64226.33
159,171,2025-06-06,Gift Card,1854.86
160,172,2025-05-12,Buy Now Pay Later,139260.13
161,173,2024-08-16,Net Banking,221832.76
162,174,2024-10-12,Buy Now Pay Later,80962.84
163,175,2026-02-23,Net Banking,19225.76
164,176,2025-06-24,Buy Now Pay Later,108231.15
165,177,2025-10-03,Debit Card,131481.56
166,178,2024-11-25,Buy Now Pay Later,61538.34
167,179,2024-06-16,Credit Card,14370.43
168,180,2024-03-01,EMI,81600.58
169,181,2025-05-31,Net Banking,54846.42
170,182,2024-12-30,Credit Card,95517.38
171,183,2026-01-06,Debit Card,111004.05
172,184,2025-03-15,UPI,38674.58
173,185,2024-06-09,Buy Now Pay Later,47648.42
174,186,2024-04-17,Buy Now Pay Later,12777.61
175,187,2024-09-29,Gift Card,117979.11
176,188,2024-04-03,Net Banking,4626.02
177,189,2024-04-11,Net Banking,45571.6
178,190,2025-06-24,Wallet,44591.57
179,191,2026-01-26,Buy Now Pay Later,4060.3
180,192,2024-06-20,Buy Now Pay Later,754818.18
181,193,2024-10-02,Buy Now Pay Later,52209.38
182,194,2024-10-28,Debit Card,33564.74
183,195,2026-01-17,Net Banking,27329.8
184,196,2024-05-20,Net Banking,285810.4
185,197,2026-02-21,Debit Card,25670.96
186,198,2024-04-26,Gift Card,8935.02
187,199,2025-01-22,Wallet,28415.61
188,200,2025-01-06,Net Banking,39233.18
189,201,2024-12-27,EMI,144753.14
190,202,2024-12-10,Buy Now Pay Later,22715.71
191,203,2026-01-02,Credit Card,141387.66
192,204,2025-05-02,Net Banking,367533.4
193,205,2024-01-30,UPI,17528.44
194,206,2025-05-22,UPI,145167.85
195,207,2024-03-15,Cash,6560.89
196,208,2025-04-08,Cash,265915.94
197,210,2025-11-01,EMI,2441.88
198,211,2025-10-20,Debit Card,203971.89
199,212,2025-09-01,Net Banking,199970.82
200,214,2026-01-05,Debit Card,71275.61
201,215,2024-05-23,Wallet,27591.69
202,216,2024-09-26,Credit Card,108545.49
203,217,2024-07-26,Credit Card,144159.82
204,218,2025-11-06,EMI,174147.48
205,220,2024-03-27,Buy Now Pay Later,4865.33
206,221,2024-09-28,Wallet,21406.56
207,222,2024-06-24,Net Banking,23510.16
208,223,2024-03-14,Credit Card,39414.97
209,224,2024-05-24,Net Banking,10792.4
210,225,2024-09-30,Buy Now Pay Later,84555.2
211,226,2024-08-21,Wallet,3882.28
212,228,2024-03-27,Net Banking,23193.1
213,231,2026-01-25,Cash,32539.57
214,232,2025-08-08,Wallet,37661.25
215,233,2024-01-03,Buy Now Pay Later,35105.4
216,234,2024-03-30,Gift Card,11790.1
217,235,2025-05-19,Buy Now Pay Later,19525.96
218,236,2025-03-06,Credit Card,219738.62
219,237,2025-03-30,Credit Card,1557.41
220,239,2025-12-06,Cash,305173.28
221,240,2024-11-29,Gift Card,288923.29
222,243,2025-07-15,EMI,5809.95
223,244,2024-08-11,Cash,17908.14
224,245,2024-12-29,Wallet,430881.06
225,246,2024-06-29,Credit Card,37627.44
226,247,2024-07-31,Buy Now Pay Later,33530.16
227,248,2025-02-20,Gift Card,33283.42
228,249,2024-10-25,Net Banking,128178.6
229,250,2025-05-27,Wallet,511658.71
230,251,2025-01-08,Wallet,11600.8
231,252,2025-03-10,Gift Card,17409.02
232,253,2024-02-02,Credit Card,137834.5
233,254,2024-08-01,Wallet,256743.71
234,255,2025-12-10,Credit Card,7680.34
235,256,2024-11-28,Net Banking,15355.42
236,257,2026-01-27,Credit Card,33908.64
237,258,2025-07-19,Net Banking,87163.96
238,259,2024-12-13,Net Banking,104613.71
239,260,2024-03-13,UPI,7190.16
240,261,2025-09-15,Wallet,82752.05
241,262,2025-11-10,Wallet,49847.03
242,263,2024-01-19,Debit Card,325933.44
243,264,2025-02-04,Debit Card,107532.01
244,265,2025-10-24,Debit Card,48159.01
245,266,2025-08-09,Net Banking,34450.81
246,267,2024-05-31,Wallet,284875.8
247,268,2024-04-10,EMI,140096.51
248,269,2025-10-18,Debit Card,815.9
249,270,2025-06-04,UPI,55973.64
250,271,2024-07-21,EMI,2222.08
251,272,2024-05-15,EMI,12645.16
252,273,2025-09-08,Debit Card,89377.44
253,274,2024-11-08,Cash,23515.97
254,275,2025-03-08,Cash,214626.89
255,276,2024-05-09,Cash,84839.74
256,277,2024-04-17,UPI,20065.89
257,278,2025-01-22,EMI,33590.94
258,279,2025-02-25,Net Banking,7513.17
259,280,2025-04-21,Cash,91527.96
260,281,2025-09-02,Debit Card,10585.74
261,282,2025-08-27,EMI,98554.96
262,283,2025-06-18,Credit Card,23743.11
263,284,2024-12-18,Cash,22280.4
264,285,2024-03-10,UPI,36847.82
265,286,2025-02-26,Net Banking,24685.72
266,287,2024-08-04,Wallet,110146.51
267,289,2026-01-27,Buy Now Pay Later,93813.45
268,290,2025-09-23,Debit Card,113571.48
269,291,2025-12-31,UPI,64714.28
270,292,2024-09-10,UPI,115780.37
271,293,2024-12-31,Gift Card,4725.63
272,294,2024-12-05,EMI,119500.35
273,295,2025-09-17,Net Banking,12707.88
274,296,2024-08-06,Net Banking,65729.94
275,297,2025-12-12,Debit Card,7069.9
276,298,2025-11-02,Cash,194127.44
277,299,2024-02-05,EMI,6501.94
278,300,2025-09-10,Credit Card,96210.55
279,301,2024-04-18,Buy Now Pay Later,209748.14
280,302,2024-04-13,Debit Card,3873.3
281,303,2026-02-24,Wallet,12811.67
282,304,2025-09-19,Debit Card,95890.29
283,305,2025-04-07,Gift Card,92965.58
284,306,2024-07-06,UPI,67714.44
285,307,2025-04-21,Buy Now Pay Later,11440.36
286,308,2025-07-25,Wallet,24442.62
287,309,2025-09-24,Buy Now Pay Later,25198.49
288,310,2024-06-24,Cash,41042.14
289,311,2024-11-05,Debit Card,21583.88
290,312,2025-05-27,Cash,20126.77
291,313,2025-09-02,Debit Card,308112.39
292,314,2025-11-05,Debit Card,316080.14
293,315,2024-08-22,Credit Card,5971.2
294,316,2025-01-16,Cash,63938.35
295,317,2024-10-24,Net Banking,100266.87
296,318,2025-10-10,Buy Now Pay Later,31938.09
297,319,2025-01-02,Buy Now Pay Later,36097.61
298,320,2025-10-16,Net Banking,177188.35
299,321,2024-02-19,Net Banking,117734.91
300,322,2026-01-11,Gift Card,7569.7
301,323,2026-01-14,Gift Card,3702.1
302,324,2024-01-25,Wallet,214771.24
303,325,2025-08-06,Cash,223192.92
304,326,2025-12-28,Gift Card,12673.83
305,327,2025-08-19,Cash,13360.9
306,329,2024-09-27,Buy Now Pay Later,125358.6
307,330,2024-08-03,EMI,27005.68
308,331,2024-04-21,EMI,20537.72
309,332,2025-07-20,Credit Card,37499.7
310,333,2024-06-26,Gift Card,21168.73
311,334,2025-04-01,Debit Card,59515.05
312,335,2025-10-04,Cash,103104.51
313,336,2025-09-16,Gift Card,222027.32
314,338,2024-03-23,EMI,26851.47
315,339,2024-12-19,Credit Card,7831.04
316,340,2025-08-13,Credit Card,29515.47
317,342,2024-05-03,EMI,13665.41
318,343,2025-10-11,Cash,24214.08
319,345,2024-04-20,Credit Card,25190.08
320,346,2025-01-23,Debit Card,33905.99
321,347,2024-12-11,EMI,28517.52
322,348,2025-03-30,Debit Card,36076.43
323,349,2025-10-24,Credit Card,61567.44
324,350,2024-12-17,Credit Card,478148.6
325,351,2026-01-19,UPI,264337.22
326,352,2026-01-18,UPI,67421.04
327,353,2024-02-22,Net Banking,4527.27
328,354,2024-06-02,Buy Now Pay Later,319849.79
329,355,2025-07-17,UPI,13096.77
330,356,2025-08-30,Buy Now Pay Later,7069.08
331,357,2025-11-14,EMI,23681.5
332,358,2024-07-23,Wallet,50546.86
333,359,2024-08-03,Net Banking,26241.9
334,360,2024-01-15,Wallet,92976.98
335,361,2026-01-02,EMI,89768.96
336,362,2025-06-11,Net Banking,3990.42
337,363,2024-02-12,Buy Now Pay Later,11248.51
338,364,2024-01-30,Debit Card,3110.64
339,365,2024-03-26,Wallet,11339.88
340,366,2025-06-14,UPI,61586.45
341,367,2025-06-22,UPI,13287.86
342,368,2024-01-21,Credit Card,300716.66
343,369,2024-05-21,Wallet,204360.25
344,372,2024-12-10,Net Banking,16175.04
345,373,2024-10-03,Wallet,65421.7
346,374,2025-02-19,Net Banking,142546.93
347,375,2026-02-09,Wallet,19209.32
348,376,2025-09-13,Debit Card,47211.69
349,377,2025-02-14,Debit Card,78575.68
350,378,2025-06-02,Wallet,70577.38
351,379,2025-05-19,UPI,4234.1
352,380,2025-07-09,Cash,29297.43
353,381,2024-09-20,Debit Card,23563.37
354,382,2024-09-18,Credit Card,94098.92
355,383,2025-07-21,UPI,5641.56
356,384,2026-01-19,UPI,1429.54
357,385,2024-09-01,EMI,157733.76
358,386,2024-05-12,Buy Now Pay Later,381652.64
359,387,2025-12-27,Credit Card,29822.34
360,388,2026-02-06,EMI,13230.16
361,389,2024-02-12,Cash,20393.76
362,390,2024-12-02,Gift Card,6702.27
363,391,2025-08-06,Gift Card,130262.35
364,392,2024-09-14,Debit Card,28624.09
365,393,2024-11-07,Debit Card,103821.59
366,394,2025-03-31,Debit Card,105190.26
367,395,2025-09-07,EMI,27689.12
368,396,2025-08-28,UPI,22632.54
369,397,2024-03-17,Credit Card,24604.12
370,398,2025-08-12,Cash,39445.17
371,399,2024-12-10,EMI,3222.7
372,400,2024-11-20,Net Banking,863.46
373,401,2026-02-11,Gift Card,104025.96
374,402,2024-03-06,Wallet,13864.95
375,403,2024-06-23,Cash,38879.3
376,404,2024-02-16,Buy Now Pay Later,33921.37
377,405,2025-06-20,Gift Card,5560.56
378,406,2024-01-06,Gift Card,115174.93
379,407,2024-10-20,Cash,225641.5
380,408,2025-05-19,Credit Card,37287.6
381,409,2024-11-26,Debit Card,12998.71
382,410,2025-04-02,EMI,15347.26
383,411,2026-01-21,Wallet,172511.17
384,412,2024-11-07,Net Banking,87020.8
385,413,2025-03-20,Buy Now Pay Later,4505.04
386,414,2024-07-14,Buy Now Pay Later,47352.29
387,415,2024-10-23,EMI,1063.84
388,416,2024-05-09,Wallet,92248.06
389,417,2025-10-26,Net Banking,22084.01
390,418,2024-09-22,Debit Card,93447.45
391,419,2026-02-26,Credit Card,267381.14
392,420,2024-07-15,Buy Now Pay Later,45603.27
393,421,2025-03-31,Gift Card,13820.04
394,422,2024-05-24,Credit Card,170583.72
395,424,2024-09-15,Net Banking,1301.91
396,425,2024-01-17,UPI,2118.42
397,426,2024-08-01,Credit Card,7217.11
398,427,2025-10-24,Cash,30242.59
399,428,2025-04-02,Wallet,154590.48
400,429,2024-08-16,Credit Card,11187.65
401,430,2024-11-01,Credit Card,436665.81
402,431,2024-02-09,UPI,125344.68
403,432,2025-04-24,Cash,92447.31
404,433,2024-04-30,UPI,121651.12
405,434,2025-09-12,Net Banking,29462.55
406,435,2024-08-03,Buy Now Pay Later,29638.92
407,436,2025-10-24,Cash,35095.64
408,437,2025-09-27,UPI,37480.5
409,439,2024-05-04,Gift Card,2402.34
410,440,2024-10-15,EMI,66325.02
411,441,2025-06-28,Credit Card,563110.45
412,442,2025-06-26,EMI,23253.21
413,443,2026-02-02,UPI,322118.74
414,444,2025-08-13,UPI,158671.49
415,445,2024-01-12,Debit Card,22368.59
416,446,2025-05-19,Wallet,80867.38
417,447,2025-05-27,UPI,59503.82
418,448,2025-04-04,Buy Now Pay Later,32139.52
419,449,2024-07-12,EMI,103303.23
420,450,2025-01-03,Cash,27949.17
421,451,2024-03-10,Net Banking,25183.25
422,452,2025-01-10,Wallet,139142.95
423,453,2024-04-20,Gift Card,282119.2
424,454,2024-08-24,Net Banking,105532.86
425,455,2024-08-07,Gift Card,37925.67
426,456,2025-08-29,Debit Card,299243.82
427,457,2025-06-28,UPI,65035.3
428,458,2025-11-29,UPI,273286.9
429,459,2024-07-19,Net Banking,122648.76
430,460,2024-10-24,Credit Card,121093.55
431,461,2024-07-09,Net Banking,5439.49
432,462,2024-02-28,UPI,132.29
433,463,2025-08-11,Gift Card,41655.39
434,464,2024-03-17,Cash,20975.67
435,465,2024-05-27,Gift Card,163604.16
436,466,2024-04-20,Net Banking,1689.6
437,467,2025-06-20,UPI,133037.13
438,468,2025-07-19,Credit Card,1370.88
439,469,2025-09-13,Cash,8565.78
440,470,2024-03-05,Net Banking,25450.14
441,471,2025-06-03,Buy Now Pay Later,27960.49
442,472,2026-01-01,Buy Now Pay Later,2240.21
443,474,2026-02-02,Credit Card,19223.42
444,475,2025-08-15,EMI,99683.02
445,477,2024-06-29,UPI,3504.22
446,478,2025-02-25,UPI,10978.92
447,479,2024-06-16,Wallet,263162.43
448,480,2025-06-25,Cash,114389.82
449,481,2025-07-13,Credit Card,337745.81
450,482,2024-05-03,EMI,2399.56
451,483,2024-03-29,Debit Card,76130.47
452,484,2024-10-13,Buy Now Pay Later,33748.61
453,485,2024-09-21,Cash,116821.2
454,486,2025-02-15,Wallet,60160.25
455,487,2024-04-05,Gift Card,39102.68
456,488,2024-06-25,Debit Card,106535.5
457,489,2025-11-03,UPI,12843.68
458,490,2024-05-29,Debit Card,177231.41
459,491,2024-03-14,Credit Card,8576.85
460,492,2024-08-07,Net Banking,16385.61
461,493,2024-10-05,UPI,59849.75
462,494,2026-02-19,UPI,13819.45
463,496,2025-09-21,Wallet,111773.05
464,497,2025-08-12,Net Banking,64937.55
465,498,2025-06-27,Cash,17064.0
466,499,2024-07-15,Wallet,20632.91
467,500,2025-08-02,UPI,24694.5
468,501,2025-04-10,Cash,63837.73
469,503,2025-10-28,Gift Card,11587.56
470,504,2025-09-23,UPI,22782.55
471,505,2024-11-07,UPI,50221.95
472,506,2024-05-11,Net Banking,135371.9
473,507,2025-01-31,Debit Card,12392.6
474,508,2025-12-18,Wallet,38087.21
475,509,2024-05-25,Debit Card,83306.26
476,510,2025-12-25,EMI,365532.66
477,511,2025-12-11,Credit Card,222500.8
478,512,2025-12-16,Gift Card,5659.4
479,513,2024-09-15,EMI,1049.44
480,514,2025-07-07,Buy Now Pay Later,148825.8
481,515,2026-02-23,EMI,28105.56
482,516,2025-05-08,Net Banking,107.25
483,517,2025-06-11,Cash,34864.0
484,518,2025-07-25,UPI,84884.78
485,519,2024-01-07,Net Banking,10482.1
486,520,2024-08-03,UPI,6622.03
487,521,2025-10-06,Gift Card,32475.16
488,522,2024-08-24,Credit Card,33535.21
489,523,2025-12-27,UPI,81011.08
490,524,2026-02-10,Credit Card,6292.51
491,525,2024-04-09,Net Banking,24212.65
492,526,2025-09-25,Net Banking,47082.12
493,528,2025-04-14,EMI,35610.36
494,529,2024-11-28,Debit Card,118.03
495,530,2026-01-09,Net Banking,34249.25
496,531,2024-09-18,Net Banking,84007.42
497,532,2026-01-27,EMI,15864.2
498,533,2025-08-28,EMI,147555.68
499,534,2026-01-08,Debit Card,31292.04
500,535,2025-05-28,Net Banking,4049.12
501,536,2026-02-12,Net Banking,72429.71
502,537,2026-02-10,Gift Card,140345.23
503,538,2025-01-30,Gift Card,85922.13
504,539,2026-01-03,Gift Card,147250.87
505,540,2025-03-16,Buy Now Pay Later,7220.3
506,541,2026-02-17,Wallet,13583.86
507,542,2024-11-24,UPI,20852.13
508,543,2024-11-09,UPI,9021.99
509,544,2026-02-22,UPI,55311.2
510,545,2024-05-01,Cash,36473.79
511,546,2024-08-06,EMI,144979.62
512,547,2024-05-09,Debit Card,5432.15
513,548,2024-08-08,Gift Card,21728.67
514,549,2025-12-29,Buy Now Pay Later,51376.97
515,550,2025-04-28,Credit Card,3483.69
516,551,2024-06-27,Buy Now Pay Later,277582.22
517,552,2025-11-21,Wallet,20176.33
518,553,2024-07-16,Cash,214093.77
519,554,2024-12-16,Wallet,115127.29
520,555,2025-03-05,Gift Card,11359.05
521,557,2024-07-03,Buy Now Pay Later,38065.48
522,558,2025-09-14,Cash,314497.7
523,559,2024-05-21,UPI,32153.66
524,560,2025-06-10,Net Banking,208391.19
525,561,2025-03-29,Gift Card,4523.01
526,562,2024-08-16,Net Banking,79364.15
527,563,2025-08-31,Cash,40126.23
528,564,2024-08-03,UPI,390017.49
529,565,2024-12-06,Gift Card,15990.9
530,566,2025-10-06,Wallet,21572.9
531,567,2024-12-09,Cash,152557.02
532,568,2024-06-03,Wallet,8751.76
533,569,2025-12-30,Debit Card,105813.64
534,570,2024-04-01,Gift Card,5301.34
535,571,2024-10-04,Cash,217146.9
536,572,2026-02-18,EMI,3299.45
537,573,2025-01-28,Cash,2521.21
538,574,2025-06-17,Net Banking,26379.02
539,575,2024-07-23,Gift Card,204125.21
540,576,2025-05-05,EMI,202396.98
541,577,2026-02-26,EMI,596.16
542,579,2024-10-26,Credit Card,283039.7
543,580,2024-06-21,EMI,102435.76
544,581,2025-06-22,UPI,47805.49
545,583,2025-04-21,EMI,158558.64
546,584,2025-03-21,Buy Now Pay Later,14673.34
547,585,2025-05-28,EMI,27289.2
548,586,2024-08-18,Buy Now Pay Later,198227.54
549,587,2025-12-08,Gift Card,62377.25
550,588,2025-03-17,Credit Card,30008.69
551,589,2024-01-22,EMI,79660.34
552,590,2025-12-30,EMI,49617.06
553,591,2025-07-12,EMI,1414.87
554,592,2024-04-03,Net Banking,16319.88
555,593,2025-03-15,Credit Card,31779.37
556,594,2024-12-16,Debit Card,80222.62
557,595,2025-09-05,Net Banking,27237.42
558,596,2024-08-21,Debit Card,78329.26
559,597,2025-07-13,Cash,86268.54
560,599,2025-06-23,Credit Card,2302.56
561,600,2025-03-23,Gift Card,34969.64
562,601,2024-02-04,Net Banking,33049.83
563,602,2024-12-30,UPI,63229.06
564,603,2025-08-06,Gift Card,47247.75
565,604,2024-01-13,Wallet,38562.16
566,605,2025-07-31,Credit Card,54009.67
567,606,2024-11-28,Cash,521896.84
568,607,2024-02-27,Wallet,114632.06
569,609,2025-12-22,Debit Card,360497.24
570,610,2024-04-27,Buy Now Pay Later,996.54
571,611,2024-10-18,UPI,24128.94
572,612,2024-06-07,Wallet,24235.41
573,613,2025-11-09,Wallet,117856.64
574,614,2024-12-13,Buy Now Pay Later,5651.94
575,615,2026-01-08,Wallet,89752.01
576,616,2024-05-03,Gift Card,347499.69
577,618,2024-07-12,Wallet,169406.08
578,619,2024-06-01,Credit Card,14833.42
579,620,2026-02-26,EMI,37723.64
580,622,2025-07-18,UPI,35367.26
581,623,2026-01-10,EMI,42715.02
582,624,2024-05-30,UPI,7066.36
583,625,2025-11-04,Net Banking,3711.86
584,626,2024-09-03,Buy Now Pay Later,7552.36
585,627,2025-02-10,EMI,36856.25
586,628,2025-01-18,Net Banking,154399.34
587,629,2025-12-29,Gift Card,27596.09
588,630,2025-04-23,Credit Card,48210.79
589,631,2025-05-24,Debit Card,35490.72
590,632,2025-06-29,Net Banking,68059.41
591,633,2025-12-11,Credit Card,6936.84
592,634,2024-07-24,EMI,176225.46
593,635,2025-01-08,UPI,23040.78
594,636,2024-07-10,Net Banking,52946.31
595,637,2025-06-04,EMI,235602.22
596,638,2025-04-02,UPI,29182.32
597,639,2025-01-11,Debit Card,56669.99
598,640,2025-06-30,EMI,8574.97
599,641,2024-12-18,Credit Card,11506.24
600,642,2025-09-17,EMI,114939.1
601,643,2026-01-12,EMI,24404.06
602,644,2026-01-02,Cash,139734.83
603,646,2025-10-28,Cash,10954.61
604,647,2024-08-31,EMI,13073.68
605,648,2025-12-13,Buy Now Pay Later,107587.32
606,649,2024-11-09,Cash,7330.2
607,650,2024-02-03,Gift Card,50180.02
608,651,2025-10-31,Wallet,16752.11
609,652,2025-12-14,EMI,2983.39
610,653,2025-12-28,Buy Now Pay Later,18946.34
611,654,2025-08-25,Net Banking,21571.63
612,655,2024-02-04,UPI,25632.84
613,656,2025-09-09,Buy Now Pay Later,716.99
614,657,2026-01-17,UPI,271899.32
615,658,2026-02-13,Credit Card,70280.34
616,659,2025-09-18,Gift Card,644335.72
617,660,2026-01-01,Wallet,55516.17
618,661,2024-09-18,Credit Card,48536.47
619,662,2025-08-01,Debit Card,276130.32
620,663,2025-03-08,EMI,185816.13
621,664,2024-05-14,EMI,244684.9
622,665,2024-05-28,UPI,62517.51
623,666,2024-11-21,Cash,14972.28
624,667,2024-05-16,EMI,17650.46
625,669,2025-09-25,Buy Now Pay Later,123076.67
626,670,2024-01-07,Net Banking,368002.34
627,671,2024-09-28,Debit Card,27949.17
628,672,2025-07-28,Credit Card,54233.44
629,673,2025-01-11,Buy Now Pay Later,18450.55
630,674,2025-11-03,Net Banking,940.48
631,675,2025-07-25,Debit Card,261388.7
632,676,2025-09-20,UPI,21908.71
633,677,2025-12-01,Credit Card,157289.6
634,678,2025-08-17,Debit Card,22462.76
635,679,2024-07-21,UPI,96851.82
636,680,2025-09-13,Net Banking,20278.67
637,681,2025-12-13,Buy Now Pay Later,40106.62
638,682,2025-10-11,Buy Now Pay Later,17120.54
639,684,2024-07-28,Net Banking,951.5
640,685,2024-05-31,Credit Card,72576.09
641,686,2025-08-14,UPI,157434.01
642,687,2026-02-24,EMI,265838.18
